Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",Cap_0402,2,10p,
"C10, C102, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C36, C4, C41, C42, C48, C49, C5, C50, C51, C55, C56, C57, C58, C59, C6, C60, C61, C62, C66, C67, C68, C69, C7, C73, C74, C75, C76, C8, C80, C81, C82, C83, C9, C91",Cap_0402,46,100n,
"C100, C95",Cap_0402,2,220n,
"C101, C63, C70, C77, C84, C98",Cap_0402,6,1u,
"C103, C104, C105, C89, C92, C93",Cap_0805,6,22u,
"C3, C37, C38, C39, C40, C43, C44, C45, C46, C47, C52, C53, C54, C64, C65, C71, C72, C78, C79, C85, C86, C87, C88, C94, C96, C97, C99",Cap_0603,27,10u,
C90,CP_Elec_6.3x5.9,1,100uF,
"D1, D2",D_SOD-323,2,D_Schottky,
"FB1, FB2, FB3, FB4",0805,4,FerriteBead,
J1,BarrelJack_GCT_DCJ200-10-A_Horizontal,1,Jack-DC,
"J2, J3",Wuerth_USB3B_692221030100,2,Wuerth_USB3_B_Receptable_692221030100,
"J4, J5, J6, J7",Wuerth_USB3A_receptible_692122030100,4,Wuerth_USB3_Receptible_692122030100,
J8,PinHeader_2x08_P2.54mm_Vertical_SMD,1,Conn_01x16_MountingPin,
J9,PinHeader_1x04_P2.54mm_Vertical_SMD_Pin1Left,1,Conn_01x04_MountingPin,
L1,L_Coilcraft_XAL7030-272,1,6.8u,
L2,L_Coilcraft_XAL7030-272,1,10u,
"R1, R7",Res_0402,2,3k3,
"R10, R11, R12, R13, R15, R16, R17, R18, R19, R2, R20, R26, R3, R36, R37, R38, R39, R4, R41, R42, R43, R44, R46, R47, R48, R49, R5, R51, R52, R53, R54, R8, R9",Res_0402,33,10k,
R14,Res_0402,1,9.53k,
"R21, R22, R23, R24",Res_0402,4,0,
R25,Res_0402,1,1k,
"R27, R28, R29, R30, R31, R32, R33, R34, R35",Res_0402,9,R,
"R40, R45, R50, R55",Res_0402,4,39k,
"R56, R58",Cap_0402,2,100k,
R57,Cap_0402,1,4.32k,
R59,Cap_0402,1,1K,
R6,Res_0402,1,1M,
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,AT24CS04-SSHM,
"U10, U5, U8",SOT-363_SC-70-6,3,LM66100DCK,
"U11, U13, U15, U17, U19, U9",Texas_R-PUSON-N14,6,TPD6E05U06RVZ,
"U12, U14, U16, U18",DFN-8-1EP_3x3mm_P0.65mm_EP1.55x2.4mm,4,MAX8586,
U2,QFN-64-1EP_9x9mm_P0.5mm_EP6x6mm_ThermalVias,1,TUSB8043A,
U3,VSSOP-10_3x3mm_P0.5mm,1,TS3USB30EDGSR,
U4,WQFN-20-1EP_2.5x4.5mm_P0.5mm_EP1x2.9mm,1,CBTL02043A,
"U6, U7",Texas_HSOP-8-1EP_3.9x4.9mm_P1.27mm_ThermalVias,2,LMR33640ADDA,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,24MHz 20ppm,
